
% Spiral, N=312, M=3, D=2
% Chang, H. and D.Y. Yeung, Robust path-based spectral clustering. Pattern Recognition, 2008. 41(1): p. 191-203.
%
% source: http://cs.joensuu.fi/sipu/datasets/
%
@relation 3-spiral

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@DATA
31.95,7.95,3
31.15,7.3,3
30.45,6.65,3
29.7,6,3
28.9,5.55,3
28.05,5,3
27.2,4.55,3
26.35,4.15,3
25.4,3.85,3
24.6,3.6,3
23.6,3.3,3
22.75,3.15,3
21.85,3.05,3
20.9,3,3
20,2.9,3
19.1,3,3
18.2,3.2,3
17.3,3.25,3
16.55,3.5,3
15.7,3.7,3
14.85,4.1,3
14.15,4.4,3
13.4,4.75,3
12.7,5.2,3
12.05,5.65,3
11.45,6.15,3
10.9,6.65,3
10.3,7.25,3
9.7,7.85,3
9.35,8.35,3
8.9,9.05,3
8.55,9.65,3
8.15,10.35,3
7.95,10.95,3
7.75,11.7,3
7.55,12.35,3
7.45,13,3
7.35,13.75,3
7.3,14.35,3
7.35,14.95,3
7.35,15.75,3
7.55,16.35,3
7.7,16.95,3
7.8,17.55,3
8.05,18.15,3
8.3,18.75,3
8.65,19.3,3
8.9,19.85,3
9.3,20.3,3
9.65,20.8,3
10.2,21.25,3
10.6,21.65,3
11.1,22.15,3
11.55,22.45,3
11.95,22.7,3
12.55,23,3
13.05,23.2,3
13.45,23.4,3
14,23.55,3
14.55,23.6,3
15.1,23.75,3
15.7,23.75,3
16.15,23.85,3
16.7,23.8,3
17.15,23.75,3
17.75,23.75,3
18.2,23.6,3
18.65,23.5,3
19.1,23.35,3
19.6,23.15,3
20,22.95,3
20.4,22.7,3
20.7,22.55,3
21,22.15,3
21.45,21.95,3
21.75,21.55,3
22,21.25,3
