
x,y,class
31.95,7.95,3
31.15,7.3,3
30.45,6.65,3
29.7,6.0,3
28.9,5.55,3
28.05,5.0,3
27.2,4.55,3
26.35,4.15,3
25.4,3.85,3
24.6,3.6,3
23.6,3.3,3
22.75,3.15,3
21.85,3.05,3
20.9,3.0,3
20.0,2.9,3
19.1,3.0,3
18.2,3.2,3
17.3,3.25,3
16.55,3.5,3
15.7,3.7,3
14.85,4.1,3
14.15,4.4,3
13.4,4.75,3
12.7,5.2,3
12.05,5.65,3
11.45,6.15,3
10.9,6.65,3
10.3,7.25,3
9.7,7.85,3
9.35,8.35,3
8.9,9.05,3
8.55,9.65,3
8.15,10.35,3
7.95,10.95,3
7.75,11.7,3
7.55,12.35,3
7.45,13.0,3
7.35,13.75,3
7.3,14.35,3
7.35,14.95,3
7.35,15.75,3
7.55,16.35,3
7.7,16.95,3
7.8,17.55,3
8.05,18.15,3
8.3,18.75,3
8.65,19.3,3
8.9,19.85,3
9.3,20.3,3
9.65,20.8,3
10.2,21.25,3
10.6,21.65,3
11.1,22.15,3
11.55,22.45,3
11.95,22.7,3
12.55,23.0,3
13.05,23.2,3
13.45,23.4,3
14.0,23.55,3
14.55,23.6,3
15.1,23.75,3
15.7,23.75,3
16.15,23.85,3
16.7,23.8,3
17.15,23.75,3
17.75,23.75,3
18.2,23.6,3
18.65,23.5,3
19.1,23.35,3
19.6,23.15,3
20.0,22.95,3
20.4,22.7,3
20.7,22.55,3
21.0,22.15,3
21.45,21.95,3
21.75,21.55,3
22.0,21.25,3
22.25,21.0,3
22.5,20.7,3
22.65,20.35,3
22.75,20.05,3
22.9,19.65,3
23.0,19.35,3
23.1,19.0,3
23.15,18.65,3
23.2,18.25,3
23.2,18.05,3
23.2,17.8,3
23.1,17.45,3
23.05,17.15,3
22.9,16.9,3
22.85,16.6,3
22.7,16.4,3
22.6,16.2,3
22.55,16.05,3
22.4,15.95,3
22.35,15.8,3
22.2,15.65,3
22.15,15.55,3
22.0,15.4,3
21.9,15.3,3
21.85,15.25,3
21.75,15.15,3
21.65,15.05,3
21.55,15.0,3
21.5,14.9,3
19.35,31.65,1
20.35,31.45,1
21.35,31.1,1
22.25,30.9,1
23.2,30.45,1
23.95,30.05,1
24.9,29.65,1
25.6,29.05,1
26.35,28.5,1
27.15,27.9,1
27.75,27.35,1
28.3,26.6,1
28.95,25.85,1
29.5,25.15,1
29.95,24.45,1
30.4,23.7,1
30.6,22.9,1
30.9,22.1,1
31.25,21.3,1
31.35,20.55,1
31.5,19.7,1
31.55,18.9,1
31.65,18.15,1
31.6,17.35,1
31.45,16.55,1
31.3,15.8,1
31.15,15.05,1
30.9,14.35,1
30.6,13.65,1
30.3,13.0,1
29.9,12.3,1
